prev_value,lpi_score,event_count,avg_tone,avg_goldstein
3109096.834,4.2,3674,-1.7952318546673698,1.1387316276537833
151186290.354,4.2,3674,-1.7952318546673698,1.1387316276537833
4989172112.786,4.2,3674,-1.7952318546673698,1.1387316276537833
14200899.14,4.2,3674,-1.7952318546673698,1.1387316276537833
4340292591.126,4.2,3674,-1.7952318546673698,1.1387316276537833
3991539.628,4.2,3674,-1.7952318546673698,1.1387316276537833
5925.498,4.2,3674,-1.7952318546673698,1.1387316276537833
921676.451,4.2,3674,-1.7952318546673698,1.1387316276537833
5925.498,4.2,3674,-1.7952318546673698,1.1387316276537833
14200899.14,4.2,3674,-1.7952318546673698,1.1387316276537833
4993879411.463,4.2,3674,-1.7952318546673698,1.1387316276537833
119855916.442,4.2,3674,-1.7952318546673698,1.1387316276537833
760024.508,4.2,3674,-1.7952318546673698,1.1387316276537833
15666348.019,4.2,3674,-1.7952318546673698,1.1387316276537833
3991539.628,4.2,3674,-1.7952318546673698,1.1387316276537833
705424.371,4.2,3674,-1.7952318546673698,1.1387316276537833
4989172112.786,4.2,3674,-1.7952318546673698,1.1387316276537833
1271.716,4.2,3674,-1.7952318546673698,1.1387316276537833
3991539.628,4.2,3674,-1.7952318546673698,1.1387316276537833
119855916.442,4.2,3674,-1.7952318546673698,1.1387316276537833
151942280.526,4.2,3674,-1.7952318546673698,1.1387316276537833
15666348.019,4.2,3674,-1.7952318546673698,1.1387316276537833
9735330796.146,4.2,3674,-1.7952318546673698,1.1387316276537833
325663460.19,4.2,3674,-1.7952318546673698,1.1387316276537833
159918.343,4.2,3674,-1.7952318546673698,1.1387316276537833
5137955304.237,4.2,3674,-1.7952318546673698,1.1387316276537833
325769233.975,4.2,3674,-1.7952318546673698,1.1387316276537833
381799.825,4.2,3674,-1.7952318546673698,1.1387316276537833
171.178,4.2,3674,-1.7952318546673698,1.1387316276537833
107560010.58,4.2,3674,-1.7952318546673698,1.1387316276537833
107560010.58,4.2,3674,-1.7952318546673698,1.1387316276537833
4159478402.565,4.2,3674,-1.7952318546673698,1.1387316276537833
325769233.975,4.2,3674,-1.7952318546673698,1.1387316276537833
5137573504.412,4.2,3674,-1.7952318546673698,1.1387316276537833
171.178,4.2,3674,-1.7952318546673698,1.1387316276537833
325663460.19,4.2,3674,-1.7952318546673698,1.1387316276537833
381799.825,4.2,3674,-1.7952318546673698,1.1387316276537833
107560010.58,4.2,3674,-1.7952318546673698,1.1387316276537833
